Unique ID,Last Name,First Name,Title of the Presentation ,Year ,Summary,Topics (L),Region (L),Sub-region,Checked,,Notes
DillJan;FisWhi;SwiSco,Dill;Fisher;Swiatek,Janette;Whitney;Scott,Disparities in Entry Level Healthcare Worker Job Satisfaction.,2017,,Affect;Healthcare;Labor;Market services,N/A,N/A,FALSE,,
DomCar,Dominguez,Carmen,The Professionalization of Carework.,2017,N/A,Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
FisDei,Fishel,Deirdre,Care: The Documentary (Q&A Session),2017,"The documentary examines the dynamics of eldercare in the United States. It follows three elderly people who are receiving full hired care from their homes. It also examines the immigration struggles of one of the caretakers, as well as the emotional labor that is associated with caretaking. There are no available details about the Q&A session at the conference. ",,,,FALSE,,
FisJen;ShuMor,Fish;Shumpert,Jennifer;Moriah,Global Policy-Local Action: ILO Standards as an Organizing Instrument.,2017,"This panel examines efforts to reform and regulate carework and ensure the rights and protections of careworkers, many of whom are migrants. Such efforts are currently under way at multiple levels, involving local, subnational and national governments, trade unions and careworkers organizations and networks, and international organizations. Global governance, for example, may in theory be able to bridge inequalities between sending and receiving countries by articulating international norms, but, as two of the papers emphasize, it is a two-way street. Local and country-specific mobilizations can serve as an impetus for global norm-setting and then draw on formal enunciations of such norms (which carry great prestige) to bolster local and country-specific claims. (Panel description)",Governance,N/A,N/A,FALSE,,
FolNan,Folbre,Nancy,The Care Penalty and The Power Premium,2017,"Folbre begins by emphasizing that bargaining power effects economic outcomes. Additionally, patterns of low bargaining power are self-reinforcing; reduced bargaining power leads to lower compensation which in turn contributes to further reduced bargaining power. Interestingly, before Folbre goes into the details of bargaining power, she addresses how she defines care. She defines care through dependency: attending to the needs of those who cannot care for themselves. She examines bargaining power by looking at collective identities or socially assigned groups. Per the Nash Bargaining Model, bargaining outcomes are determined by fallback options. Whoever has the better fallback option receives more gains. Folbre contends that regardless of fallback options, bargaining power can be well assessed through the lens of asset distribution and social institutions. Importantly, the social norms that dictate social institutions are constantly being renegotiated. Folbre argues that this period of 'renegotation' charactarizes the current wave of the feminist movement. The challenge with renegotiation is that it requires unity within a social hierarchy. Whenever there is discussion of changing or destroying a social hierarchy, people worry that they will lose all of their cooperative gains, rather than gaining a larger share of them. Further, Folbre criticizes the overemphasis of productivity on wages in traditional economics. She contends that while productivity is relevant- a firm is not going to pay a worker more than they contribute to its revenue- it is not necessarily determinant. For example, the availability of low-wage workers has an impact on average wages because firms will choose the cheaper workers in order to maximize profits. Similarly, it is not that carework is unproductive but that in the same way firms try to offload labor costs by moving factories overseas and automating certain jobs, governments try to offload the cost of care through austerity measures. Folbre connects the issue of the undervaluation of carework with the issue of care penalties by calling for a unified analysis of both domains. She emphasizes that a lot of the gender differences in income and poverty rates are a result of women's propensity to perform the bulk of carework. She cites Melissa Hodges earlier presentation as key evidence for this conclusion. She then proceeds to provide five reasons that care provision lowers bargaining power. The first is personal characteristics: careworkers tend to be women, women of color, and women with non-citizen status in the country they work in. Unions, licensing processes, and public programs such as child support provide important bargaining power for those providing carework. Additionally, the relational nature of carework reduces bargaining power. Because women often love or deeply care for the people they are taking care of they may not be inclined to do something like threaten to leave the job or relationship and with that their bargaining power is significantly reduced. Additionally, it is difficult for careworkers to obtain perfect information about who they will be providing care for which further reduces their bargaining power and ability to regulate their work environments. Furthermore, carework has really large positive externalities that are difficult to measure. ",,,,FALSE,,
FraEmi,Franzosa,Emily,Meeting invisible job requirements in an age of austerity: The implications of managed care for Home Care delivery.,2017,,Labor;Market services;Social practices;Social care,N/A,N/A,FALSE,,
FriMin,Fried,Mindy,Caring for Red: Memoir Writing as Public Sociology,2017,N/A,Affect;Aging;Social care;Socal practices,N/A,N/A,FALSE,,
GauCry,Gaudet,Crystal,Making Meaning About Reproductive Work: A Narrative Inquiry of the Experiences of Migrant Caregivers in Canada,2017,N/A,Affect;Class;Labor;Market services;Migration;Social care,Canada,N/A,FALSE,,
GonEla,González,Elaine Acosta,With Great Care (film about elder care in Chile).,2017,N/A,Aging;Social care,Latin America,Chile,FALSE,,
GonEla;FraJul;MumGai;ScuLuc;MarOlg,González;Franzoni;Arriagada;Mummert;Scuro;Martínez,Elaine Acosta;Juliana Martinez;Irma;Gail;Lucía;Olga,Discussion: Care in Latin America: Progress and Challenges,2017,"The purpose of this panel is to present and discuss the progress and challenges regarding the social reorganization of care in Latin America and the overcoming of the historically rigid gender division in which women are the exclusive paid and unpaid caregivers. To address this issue, the panel will focus on advances in public care policies aimed at different care-dependent populations such as children, the elderly and the disabled, and caregivers—in particular, their labor rights in general and of the migrant workers within the framework of global and intraregional care chains.",,Latin America,N/A,FALSE,,
GutReb,Gutman,Rebecca,Building a progressive movement of homecare workers across Massachusetts through ward/precinct organizing,2017,"Massachusetts has been the site of some innovative organizing among careworkers in recent decades. This panel will bring together leaders from state-level campaigns among domestic workers, child care workers, and personal care assistants.We invite you to join the panelists and participants for a discussion of the unique challenges and opportunities of organizing workers in the care sector. (Panel description)",Labor;Social care;Social practices,United States,Massachusetts,FALSE,,
HamCla,Hammonds,Clare,Assessing the challenges and strategy of unionizing center-based childcare workers with the Massachusetts Early Childhood Educators Union (MECEU).,2017,"Massachusetts has been the site of some innovative organizing among careworkers in recent decades. This panel will bring together leaders from state-level campaigns among domestic workers, child care workers, and personal care assistants.We invite you to join the panelists and participants for a discussion of the unique challenges and opportunities of organizing workers in the care sector. (Panel description)",Labor;Market services;Social care;Social practices,United States,Massachusetts,FALSE,,
HanAll;PhiLes;KnaEli,Hansell;Phillips;Knaster,Allison;Leslie;Elizabeth,Injury among Home Care Workers in Washington State.,2017,N/A,Labor;Market services;Social care,United States,Washington,FALSE,,
HerLuc,Herrera,Lucero,"Profile, practices, and needs of California’s domestic work employers.",2017,This panel will discuss ways to use research in the services of grassroots-led policy campaigns and other organizing initiatives. It will include examples of successful collaborations between academics and domestic/careworker organizations that advance both our collective understanding of the industry and campaign efforts to improve it. It will also include suggestions on best practices for these community/academic partnerships. (Panel description) ,Class;Gender;Market services;Race;Social care;Social practices,United States,California,FALSE,,
HerLuc;WahSab,Herrera;Waheed,Lucero;Saba,Looking for Support: Homecare Employers’ Experiences in California.,2017,N/A,Market services;Social care,United States,California,FALSE,,
HimSus,Himmelweit,Susan,How can a capabilities framework enhance feminist economic analysis of elder care provision and policies?,2017,N/A,Aging;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,N/A,FALSE,,
HodMel;BudMic;EngPau,Hodges;Budig;England,Melissa;Michelle;Paula,Wages of Nurturant and Reproductive Care Workers.,2017,N/A,Affect;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
HrzMaj,Hrzenjak,Majda,The impact of care policies on women’s economic (in)equality in Slovenia,2017,"This panel of feminist economists provides ways of thinking about the benefits and costs of investing in care, ways of paying for it, and the equity implications of various approaches. (Panel description)",Gender;Governance;Labor;Market services,Eastern/Central Europe,Slovenia,FALSE,,
IssRob,Isserles,Robin,Bounded Empathy and an ethic of care in the age of Trump.,2017,N/A,Ethics;Governance;Social care,United States,N/A,FALSE,,
JabEri,Jablonski,Erica,The Risk of Trying in a Trying Situation: Negotiating Caregiver Identity.,2017,N/A,Affect;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
JamAdi,James,Adilia,"Care Professionals, Personal Experience, and Professional Expertise.",2017,N/A,Affect;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
KimHee,Kim,Hee-Kang,Basic Income and Care Ethics,2017,N/A,Ethics;Governance;Social care,N/A,N/A,FALSE,,
KimYan,Kim,Yang-Sook,Good Care' in the Elderly Care Sector of South Korea: Discursive Contestations among Migrant and Native-born Workers,2017,,,,,FALSE,,
KloJan,Klosterman,Janna,Soiling scholarly representations of care,2017,N/A,Social care;Social practices;Theory,N/A,N/A,FALSE,,
KurAli,Kurowski,Alicia,Nursing Home Workers at High Risk of Avoidable Back Injuries,2017,,Healthcare;Labor;Market services,N/A,N/A,FALSE,,
LanCar,Lane,Carrie,The Demographics and Dynamics of High-End Carework.,2017,N/A,Citizenship;Class;Gender;Labor;Market services;Race;Social care;Social practices,N/A,N/A,FALSE,,
LehIir,Lehto,Iiris,Project care as a way of organizing elder care,2017,N/A,Aging;Social care;Social practices,N/A,N/A,FALSE,,
LiaLi-F,Liang,Li-Fang,Health and Medical-Seeking Experiences of Live-in Migrant Care Workers in Taiwan,2017,N/A,Class;Healthcare;Labor;Market services;Social care,Southeast Asia,Taiwan,FALSE,,
LiaLi-F,Liang,Li-Fang,Beyond Power Differentials: Dynamic Relations between Live-in Migrant Care Workers and Their Care Recipients.,2017,N/A,Affect;Migration;Social care;Social practices;Theory,N/A,N/A,FALSE,,
LopSte;SweHal,Lopez;Swenson,Steven;Haley,Gendered Meanings of Housework.,2017,N/A,Gender;Labor;Social care;Social practices,N/A,N/A,FALSE,,
LucKim,Lucas,Kimberly D.,The Value of Care Production: Careworkers' Strategies in Value CoCreation,2017,,,,,FALSE,,
LutWen,Luttrell,Wendy,"Learning, Carework, and the Public Good:Working-class children’s hidden work in school.",2017,N/A,Affect;Class;Governance;Labor;Social care;Social practices,N/A,N/A,FALSE,,
MacMar,MacDonald,Martha,"Fee structures for publicly-funded long-term
residential care in Canada: Implications for equity and financial well-being",2017,"This panel of feminist economists provides ways of thinking about the benefits and costs of investing in care, ways of paying for it, and the equity implications of various approaches. (Panel description)",Governance;Market services;Social care,Canada,N/A,FALSE,,
MahRia;MicSon,Mahon;Michel,Rianne;Sonya,Not in Focus: Migrant Caregivers as seen by the ILO and the OECD.,2017,"This panel examines efforts to reform and regulate carework and ensure the rights and protections of careworkers, many of whom are migrants. Such efforts are currently under way at multiple levels, involving local, subnational and national governments, trade unions and careworkers organizations and networks, and international organizations. Global governance, for example, may in theory be able to bridge inequalities between sending and receiving countries by articulating international norms, but, as two of the papers emphasize, it is a two-way street. Local and country-specific mobilizations can serve as an impetus for global norm-setting and then draw on formal enunciations of such norms (which carry great prestige) to bolster local and country-specific claims. (Panel description)",Governance;Migration;Social care,N/A,N/A,FALSE,,
MarPia,Markkanen,Pia,"Home Care Work: Integrating Qualitative
and Quantitative Research Methods to Assess Musculoskeletal Strain among Aides.",2017,N/A,Healthcare;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
MarSab,Marchetti,Sabrina,C189: A Tool for States or for Paid Domestic Workers?,2017,"This panel examines efforts to reform and regulate carework and ensure the rights and protections of careworkers, many of whom are migrants. Such efforts are currently under way at multiple levels, involving local, subnational and national governments, trade unions and careworkers organizations and networks, and international organizations. Global governance, for example, may in theory be able to bridge inequalities between sending and receiving countries by articulating international norms, but, as two of the papers emphasize, it is a two-way street. Local and country-specific mobilizations can serve as an impetus for global norm-setting and then draw on formal enunciations of such norms (which carry great prestige) to bolster local and country-specific claims. (Panel description)",Governance;Labor;Market services;Social care,N/A,N/A,FALSE,,
McAKir,McAllum,Kirstie,Resistance to personal care by older adults with dementia or mental health problems living at home: Perspectives of family caregivers and personal care assistants.,2017,N/A,Affect;Aging;Disability;Healthcare;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
McGPat,McGovern,Pat,Caring for Caregivers: Testing the Impact of a Pilot Health Promotion Intervention,2017,,Affect;Healthcare;Labor;Market services:Social care,N/A,N/A,FALSE,,
McKCor;AdaCar,McKamey;Adams,Corinne;Cara,Assembling caring identities: Collage making in an undergraduate youth work course.,2017,N/A,Affect;Labor;Social care;Social practices,N/A,N/A,FALSE,,
McKLin,McKie,Linda,A caringscapes approach to informal care and employment in contexts of austerity and precarity,2017,N/A,Class;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,N/A,FALSE,,
MilCK,Miller,C.K.,Care Bearers: Global Care Chains and Transmigratory Workers in the U.S.,2017,N/A,Citizenship;Migration;Social care;Social practices,United States,N/A,FALSE,,
MorCla,Mora,Claudia,The Gender Deficit: How the labor market penalizes women’s reproductive work,2017,N/A,Affect;Gender;Labor;Market services,N/A,N/A,FALSE,,
"MorJen;CaiCin;DilJan;MinChi;ChuEmm,LehIir",Morgan;Cain;Dill;Mingo;Chuang;Lehto,Jennifer Craft;Cindy;Janette;Chivon;Emmeline;Iiris,Consequences of Change for Low-Wage Care Workers,2017,,,,,FALSE,,
MorJen;DilJan;MinChi;ChuEmm,Morgan;Dill;Mingo;Chuang,Jennifer Craft;Janette;Chivon;Emmeline,"Carrots or Sticks: The process of education and redesign in frontline
carework occupations.",2017,N/A,Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
MukAva,Mukherjee,Avanti,Does “Doing Care” Mean Child Care is Under-Prioritized? Insights from the Indian Time Use Survey.,2017,N/A,Gender;Labor;Social care;Social practices;Theory,South Asia,India,FALSE,,
NazJen,Nazareno,Jennifer,"Hidden Consequences of ""Aging in Place"" Immigrant Workforce: Sleep Deprivation, Health Inequity and the Precarity of Nonstandardized Employment in California",2017,,Healthcare;Labor;Market services;Migration;Race;Social practices;Social care,United States,California,FALSE,,
NieCar;HegAri;HasTaz;ZinAl,Niethammer;Hegewisch;Hasan;Zink,Carmen;Ariane;Tazeen;Al,Discussion: Tackling Employer-Supported Child Care,2017,"This panel will focus on employer-supported child care and will benefit from highlights of
a forthcoming report on an international research project on the business case for employer-supported child care based on 10 private-sector case studies of employers offering child
care supports in ten countries (including Brazil, Germany, India, Japan, Jordan, Kenya, South
Africa, Turkey and the U.S.). This research is led by IFC, the private sector arm of the World
Bank Group, and conducted in conjunction with the Institute for Women’s Policy Research.
In addition, the World Bank Group’s Tackling Child Care Initiative includes a global review
of government policies, laws and regulations that can incentivize or discourage employers
from supporting child care across 189 economies",,,,FALSE,,
NisEli;MorJen,Nisbet;Morgan,Elizabeth;Jennifer Craft,"Where policy meets practice: Employer perspectives on scheduling and
hours for home care aides.",2017,N/A,Governance;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
OldLou;GreAnn;NigChr;LarMar,Oldridge,Louise,Why Should I Care?,2017,N/A,Social care,N/A,N/A,FALSE,,
PecEli,Pechter,Elise,Asthma among Careworkers—an Occupational Health Challenge.,2017,N/A,Healthcare;Labor;Market services;Social care,N/A,N/A,FALSE,,
PfaBir;EggThu;GraChr,Pfau-Effinger;Eggers;Grages,Birgit;Thurid;Christopher,Erosion of the boundaries between public and private: New forms of publicly paid family carework,2017,"Welfare state policies differ substantially concerning the ways in which they frame carework in the fields of formal and informal care. Change in welfare state policies in the last decades has substantially altered the working conditions of formal and informal careworkers in the fields of child care and long-term care for older people. The change has had considerable consequences for the relationship between carework with gender inequality and the work-family relationship. In this panel, we will examine theoretical approaches, concepts and typologies that were developed in the field of cross-national comparative research about carework in the context of welfare state policies towards child care and long-term care. (Summary is for entire panel)",Governance;Labor;Market services;Social practices;Social care,N/A,N/A,FALSE,,
PreSus;SanMat;PetTra,Prentice;Sanscartier;Peter,Susan;Matthew;Tracey,Home Sweet Home--A View from Canada: The Challenge of Regulated Family Home Child Care,2017,,Governance;Labor;Market services;Social practices;Social care,Canada,N/A,FALSE,,
PrzAnn;HayAnn,Przednowek;Hay,Anna;Anne-Marie,“Doing” Social Inclusion with Adults with Intellectual and Developmental Disabilities in Ontario.,2017,N/A,Disability;Social care;Social practices,Canada,Ontario,FALSE,,
PugAll,Pugh,Allison,The Rationalization of Relational Labor,2017,N/A,Affect;Gender;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
RavKat;DouJul,Ravenswood;Douglas,Katherine;Julie,"Work-Home-Money: A cross-occupational comparison of the work environment, paid/unpaid care work and income and their influence on health and safety outcomes in aged care in New Zealand.",2017,N/A,Aging;Class;Healthcare;Labor;Market services,Australasia,New Zealand,FALSE,,
RaxJus,Raxlen,Jussara dos Santos,"Talking about Carework: Bridging Worlds, Learning the Other and Creating Solidarity through the Practice of Caring",2017,N/A,Social care;Social practices ,N/A,N/A,FALSE,,
RazSha,Razavi,Shahra,Unequal Worlds of Care: Global and Local Dynamics,2017,"Within the international community and the United Nations, there is an appetite to support carework and careworkers, not just in the developed world but in the developing world as well. Care is essential for reproducing labor, but is rooted in deep inequalities, both in who performs care and who receives it. Razavi provides a snapshot of care dynamics in the United States, by focusing on early childhood education and care. Investing in early childhood education is particularly interesting to examine because it is not just an example of investing in care, but it also represents an investment in human capital. ",Social care;Cultural care;Governance;Labor;Migration;Equality/Inquality;Dependent Care,,,FALSE,,
SheJil;BerIla;WahSab;KalJos,Shenker;Berger;Waheed;Kalipeni,Jill;Ilana;Saba;Josephine,Discussion: Dignity in the Home: Organizing for Dignity for Caregivers and Recipents,2017,"In this panel, we will explore a collective response to the care gap based on the principle of mutual interdependence, ensuring that families obtain the vital care they need and suitably compensating workers with a livable wage, benefits and reliable scheduling. This session will feature leaders involved in campaigns that unite families, care recipients and workers to advocate together for care solutions.We will discuss strategies to increase public investment, advance policy and shift cultural values. We will share organizing efforts on the local, state, national and international level that aim to address the insufficient care infrastructure and the role of research in supporting these efforts. Finally, we will respond to the postelection climate and its impact on organizing strategies in this sector.",Class;Governance;Labor;Market services;Social care;Social practices,,,FALSE,,
SheRac,Sherman,Rachel,"Service Work, Reproductive Labor, and Care",2017,N/A,Affect;Gender;Labor;Market services;Social care;Social practices,N/A,N/A,FALSE,,
ShoFum,Showers,Fumilayo,America's Invaluable Import: Immigrants and Low-Wage Carework in the United States,2017,N/A,Class;Labor;Market services;Migration;Race;Social care,United States,N/A,FALSE,,
StaCla,Stacey,Clare,Death Work as Care Work,2017,,Aging;Healthcare;Labor;Market services;Social care,N/A,N/A,FALSE,,
SteMah,Stewart,Mahala Dyer,“It Can Be Scary ... The External Impressions and Judgements”: School Choice as Mothers’ Work in Homeschooling Families.,2017,,Gender;Social care;Social practices,N/A,N/A,FALSE,,
SunKen,Sun,Ken,Constructing Networks of Elder Care across Borders: The Experiences of Taiwanese Immigrants in the U.S. and Their Parents in the Homeland.,2017,N/A,Aging;Migration;Social care;Social practices,East Asia;United States,Taiwan,FALSE,,
TeeEri,Teeple,Erin,An Ergonomic Assessment of Hospital Linen Bag Handling,2017,,Healthcare,N/A,N/A,FALSE,,
TheHil,Theobald,Hildegard,Comparing long-term care policies and their effects on careworkers: Constructing a conceptual framework,2017,"Welfare state policies differ substantially concerning the ways in which they frame carework in the fields of formal and informal care. Change in welfare state policies in the last decades has substantially altered the working conditions of formal and informal careworkers in the fields of child care and long-term care for older people. The change has had considerable consequences for the relationship between carework with gender inequality and the work-family relationship. In this panel, we will examine theoretical approaches, concepts and typologies that were developed in the field of cross-national comparative research about carework in the context of welfare state policies towards child care and long-term care. (Summary is for entire panel)",Affect;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,N/A,FALSE,,
TraNat,Tracy,Natalicia,"Invisible No More: Domestic workers organizing
in Massachusetts and beyond.",2017,This panel will discuss ways to use research in the services of grassroots-led policy campaigns and other organizing initiatives. It will include examples of successful collaborations between academics and domestic/careworker organizations that advance both our collective understanding of the industry and campaign efforts to improve it. It will also include suggestions on best practices for these community/academic partnerships. (Panel description) ,Affect;Labor;Market services,United States,Massachusetts,FALSE,,
TraNat,Tracy,Natalicia,"Passage of the Massachusetts Domestic Workers
Bill of Rights.",2017,"Massachusetts has been the site of some innovative organizing among careworkers in recent decades. This panel will bring together leaders from state-level campaigns among domestic workers, child care workers, and personal care assistants.We invite you to join the panelists and participants for a discussion of the unique challenges and opportunities of organizing workers in the care sector. (Panel description)",Governance;Labor;Social practices;Social care,United States,Massachusetts,FALSE,,
TreDia,Tremblay,Diane-Gabrielle,Combining Work and Care in Canada,2017,,Labor;Market services;Social care,Canada,N/A,FALSE,,
TroJoa;BaiDon;BenOrl;AlcCar;GavLuz;KimHee;VanIng,Tronto;Baines;Benjamin;Alcon;Gaviria;Kim;van Nistelrooij,Joan;Donna;Orly;Carmen Dominguez;Luz Gabriela Arango;Hee-Kang;Inge,Discussion: Creating Caring Democracies: Looking to the Future,2017,Keynote Panel 3,N/A,N/A,N/A,FALSE,,
TsuEmm;FraEmi;BarShe,Tsui;Franzosa;Baron,Emma;Emily;Sherry,Reducing the mental health effects of client death for home careworkers,2017,,Affect;Aging;Healthcare;Labor;Market services;Social care,N/A,N/A,FALSE,,
UkhDar,Ukhova,Daria,Gender division of unpaid carework in the ‘post-post-socialist’ Europe.,2017,N/A,Gender;Labor;Social care;Social practices,Central/Eastern Europe,Russia,FALSE,,
WatJac,Watts,Jackie,Caregiving as penalty and promise.,2017,N/A,Affect;Social care,N/A,N/A,FALSE,,
WhiBra,Whitman,Brandi,Kinesthetic Reading,2017,N/A,N/A,N/A,N/A,FALSE,,
ZoeJea;LanPau;AleDar;BahAmy;HorWen;RivBia,Zoeckler;Landsbergis;Alexander;Bahruth;Hord;Rivera,Jeanette;Paul;Darryl;Amy;Wendy;Bianca,Organizational Programs and Policies to Prevent K-12 Teachers' Occupational Stress,2017,,Affect;Labor:Market services;Social care,N/A,N/A,FALSE,,
AddLau;CattUmb;EsqVal;ValIsa,Addati;Cattaneo;Esquivel;Valarino,Laura;Umberto;Valeria;Isabel,Transforming Care Work and Care Jobs for the Future of Decent Work,2019,"The presentation will review the key findings of the ILO care work report and its contribution to the recommendations of the ILO Global Commission on the Future of Work, which has marked the ILO’s centenary in 2019 by a landmark report on the future of work. The Global Commission calls for the implementation of a transformative and measurable agenda for gender equality for the future of work. This human-centred agenda includes making unpaid care work an equal responsibility of men and women and transforming the care economy by promoting public investments in quality care services, decent work policies for care workers, support of unpaid care workers wishing to return to paid employment and the revaluing and formalization of paid care work. For the world of work begins at home.",Governance;Metrics,N/A,N/A,FALSE,,
AieBri;McQKri,Aiello;McQueeney,Brittnie;Krista,"‘Grandma is the Next Best Thing to Mommy’: Incarcerated Motherhood, Caregiver Relationships, and Maternal Identity",2019,"Over eighty percent of incarcerated women are mothers, but only the most fortunate of these mothers have caregivers on the outside who are willing and able to care for their children while they do time behind bars. Caregivers and incarcerated mothers are intertwined in complex ways related to women’s histories as mothers, pre-existing relationships with their children’s caregivers, access to communication, and likelihood of reunification with their children. Yet, little research has explored how incarcerated mothers perceive and give meaning to caregiver relationships. Drawing on interviews with 83 mothers incarcerated in a county jail in the northeast, we analyze the creation, maintenance, and recreation of mother identities among women who, by virtue of their physical separation from their children during incarceration, must rely on caregivers to care for and help their children escape the vicissitudes of the child welfare system. We examine two sets of social dynamics that converge and clash in the lives of these incarcerated mothers. On the one hand, the mothers were acutely aware that caregivers played a vital role in helping their children survive and remain connected with their mothers while locked up. On the other hand, mothers and caregivers did not always get along or communicate effectively, the mothers were sometimes dissatisfied with how their children were being cared for, and some of the mothers felt threatened or even replaced by caregivers. We demonstrate how incarcerated mothers negotiate the social expectations of mothering and their physical separation from their children through an invaluable but largely overlooked form of social capital: caregivers.",Social practices;Affect,United States,N/A,FALSE,,
AlbRan;CarMic;WieEmi,Albelda;Carr;Wiemers,Randy;Michael;Emily,The Long-Run Impact of Temporary Disability Insurance on Social Security Disability Insurance Claims (SSDI) in the United States,2019,"Workers facing illness or injury often require time off work to recover or engage in treatment before returning to work. But access to temporary paid medical leave is in the United States is limited. In 2017, only 72% of workers had access to employer-sponsored paid sick leave and 39% had access to short-term disability leave. Moreover, access to paid leave is less common among low-income leave-takers. Five states, however, have had Temporary Disability Insurance programs (TDI) since the late 1960s.

Workers face both short- and long-run employment consequences of adverse health conditions and disability including increased likelihood of job loss, declines in work hours, and reductions in earnings and consumption, which are all likely exacerbated by the lack of access to temporary paid medical leave for a work-limiting disability. Lack of temporary paid medical leave may also affect long-run employment outcomes through the use of the US federal disability program, Social Security Disability Insurance (SSDI), which restricts labor force participation, even during the application process, and discourages returning to the labor force.

These twin problems of limited access to temporary paid medical leave and growing SSDI claims in the United States may be linked to each other. To better understand this relationship, we use current state-level TDI availability to answer the following research questions:

Does the availability of partial wage replacement through TDI programs reduce SSDI claims for these individuals?
Are there groups of workers by education, earnings, gender, or race for whom TDI availability is particularly useful in reducing SSDI claims?
We will present preliminary findings using data from the longitudinal and administrative date linked Survey of Income and Program Participation Synthetic Beta (SIPP SSB) and the SIPP Gold Standard File (SIPP GSF).

",Labor;Market services,United States,N/A,FALSE,,
AlcMag,Alcazar,Magally,Tidy: A Case Study of Social Reproduction in the Gig Economy,2019,"Today, a number of online platforms like Handy and Tidy have begun to offer a variety of services related to social reproduction. These digital platforms are part of the gig economy, a market environment characterized by short-term, temporary work arrangements between service providers and clients which are mediated through new technologies. Although these kinds of informal labor arrangements are not new, the development of such apps have exacerbated the sheer numbers of people who turn to technology—and the market—either as clients purchasing services or as independent contractors providing them. Although social reproduction in the gig economy remains statistically not very significant in an industry where the dominant hiring practices are very individualized, I argue they are nonetheless important to study. In the case of social reproduction services, these platforms are radically transforming work itself in important ways. This paper explores the complex relationship between gig-style work arrangements and social reproduction. In this paper, I briefly examine the theoretical origins of wages, industries and markets emerging from Marxist theories of social reproduction. And I ask how they compare to this modern digitally-mediated social reproduction in the gig economy. I argue that there is continuity between digitally-mediated social reproduction and theses raised by the Wages for Housework Campaign and Angela Davis, only in the context of markets for housework. Using qualitative data, I analyze a case study of Tidy, a Los Angeles-based online platform for house cleaning, I ask, how is social reproduction mediated through digital platforms such as Tidy, an app that is like Uber, but for housework?
",Labor;Technology;Market services,N/A,N/A,FALSE,,
ApeEst,Apesoa-Varano,Ester,The Making of Craft: Latinas’ Accounts of Dementia Caregiving in the Home,2019,"Background: Up to 70 percent of individuals suffering from dementia in the U.S. are cared for at home and approximately 9.8 million family members take on this responsibility. Dementia caregivers are at risk for poor quality of life and declining mental and physical health. Latina caregivers report higher levels of burden and depression compared to other ethnic groups. The purpose of this qualitative study was to examine how gender, class, and ethnicity shape dementia Latina caregivers’ experiences over time. Methods: This is longitudinal qualitative study. A convenience sample of 15 Latina dementia caregivers was recruited in the Sacramento region. Caregivers completed seven in-depth interviews, along with structured questionnaires to assess physical and mental health. Data from in-depth qualitative interviews were analyzed thematically from a grounded, social constructivist approach. Results: Latina caregivers develop the skills and tacit knowledge to give care in the home as their burden increases given the frequent changes in cognitive functioning of their elderly relative. Latina caregivers become adeptly deploy observational and analytical skills that allow them, for example, to identify changes in memory and mood so they might adjust their care giving in the home. Their accounts highlight Latinas’ development of a caregiving craft that may alleviate their perception of physical and emotional burden so prevalent among dementia caregivers. This paper concludes with implications for our understanding of dementia caregiving as non-lay work in the home context.",Healthcare;Gender;Class;Race,United States,Sacramento,FALSE,,
ArbIfa;DawDei,Arbel;Dawson,Ifah;Deirdre,Caregiving for a Spouse at an Advanced Age,2019,"As the population ages and dementia rates increase, increasing numbers of oldest-old people (age 85+) are providing care to their spouses with dementia. Oldest-old people have been identified as a unique subgroup of elders differing from their younger-old counterparts (age 65-80) on several factors (e.g., motivational priorities and preferences, functional, cognitive, and sensory abilities, social networks). These differences likely result in different caregiving experiences. However, in dementia caregiving literature, oldest-old spousal caregivers have rarely been investigated as a unique caregiving subgroup. Most studies on the experiences of dementia spousal caregivers include younger spouses (age 65-80) and it is not clear if findings are applicable to oldest-old spousal caregivers. The limited evidence on the oldest-old subgroup suggests some unique aspects to their caregiving experiences (e.g., caregivers dealing with their own health problems struggle to provide physical help to their spouse, caregivers with memory decline find it challenging to manage their spouse's medication). These experiences likely create unique support needs that should be addressed in caregiving services. To date, it is unclear whether existing services are addressing these needs. As evidence on the experiences of oldest-old dementia spousal caregivers is scarce, further investigation is warranted. To address this gap, we are undertaking a study that will explore the experiences and needs of oldest-old dementia spousal caregivers. The study will employ a qualitative phenomenology methodology, which enables exploration of the lived experiences of the participants, and engagement between the researcher and participants in an interactive reflection of the meaning of age and aging in the caregiving role. This presentation elaborates on the unique characteristics of oldest-old dementia spousal caregivers and explores how understanding their experience and support needs can help inform age-sensitive practice and policy.",Aging;Healthcare,N/A,N/A,FALSE,,
