Unique ID,Authors,Title of Presentation,Yr Presented,Title of the Work,Yr published,Venue/Publication,Type,Topics/Trends (L),Methodologies,Region (L),Locality,Link,Notes,Who?,Checked?,Zotero?
LeavJac;LinThe,Jackie Leavitt;Theresa Lingafelter,The Value of Paid Care: HomeCare Workers in Los Angeles County,2004,Low Wage Workers and High Housing Costs,2005,Labor Studies Journal,Journal article,Governance;Labor;Affect,Qualitative;Surveys,United States,California,,,,FALSE,FALSE
LegEli;CorMar,Elizabeth Legerski;Marie Cornwall,"Out of Time and Money: The Double Burden of Paid and Unpaid Carework on Women with Unemployed
Spouses",2004,"Working-Class Job Loss, Gender, and the Negotiation of Household Labor",2010,Gender & Society,Journal article,Class;Labor;Gender;Market services,Qualitative;Interviews,N/A,N/A,,,,FALSE,FALSE
MeaGab,Gabrielle Meagher,What Can We Expect from Paid Carers?,2004,"What Can We Expect from Paid Carers?
",2006,Politics & Society,Journal article,Labor;Market services;Social practices;Affect,Qualitative,N/A,N/A,,,,FALSE,FALSE
MelLau;YodCar;GodAlb,Laura Mellini;Carrie Yodanis;Alberto Godenzi,Marital Relationships and Au Pair Experiences in Switzerland and France,2004,On par'? The role of the Au Pair in Switzerland and France,2007,European Societies,Journal article,Gender;Labor;Social caregiver;Affect,Qualitative;Interviews,Western Europe,Switzerland;France,,,,FALSE,FALSE
MerSab,Sabine Merz;Joya Misra;Jonathan Woodring,Where is Cinderella Now? The Division of Labor in the Two Germanies,2004,The Globalization of Care Work: Neoliberal Economic Restructuring and Migration Policy,2006,Globalizations,Journal article,Migration;Governance;Social practices,Theory;Qualitative,Western Europe;Eastern/Central Europe;Middle East/North Africa,Germany;France;Poland;Morocco,,,,FALSE,FALSE
OtiEil,Eileen Otis,Doing Deference: An Examination of Frontline Service Work and Femininity in China,2004,Beyond the Industrial Paradigm: Market-Embedded Labor and the Gender Organization of Global Service Work in China,2008,American Sociological Review,Journal article,Labor;Social practices;Gender;Market services;Affect,Qualitative,East Asia;United States,China;United States,,,,FALSE,FALSE
SmiTam;TosRon,Tamara Smith;Ronald Toseland,Supporting Spouse and Child Caregivers through Telephone Groups,2004,The effectiveness of a telephone support program for caregivers of frail older adults,2006,National Library of Medicine,Journal article,Aging;Affect;Labor,Qualitative;Focus-group,N/A,N/A,,,,FALSE,FALSE
SolCin,Cinzia Solari,Global Movements and Local Processes: An Institutional Approach to Immigrant Careworker Identities,2004,Professionals and Saints: How Immigrant Careworkers Negotiate Gender Identities at Work,2007,Citizenship and Immigrant Incorporation,Book chapter,Social practices;Labor;Race;Migration;Gender,Qualitative;Discursive analysis,N/A,N/A,,,,FALSE,FALSE
WelChr,Chris Wellin,"Problematizing Familial Care Decisions in ""Consumer-Directed"" Long-Term Care Programs",2004,Scrutinizing Familial Care in Consumer-Directed Long-Term Care Programs: Implications for Theory and Research,2006,Springer Publishing Company,Book chapter,Governance;Aging;Social practices;Labor;Market services;Gender:Class,Qualitative;Theory,United States,N/A,,,,FALSE,FALSE
ZinReb,Rebekah Zincavage,"The Caregiver’s Dilemma: Negotiating On The Job To Give Good Care, Meet ‘Standards’ and Protect One’s
Dignity",2004,"The caregiver's dilemma: Negotiating on the job to give good care, meet ‘standards’ and protect one's dignity",2004,Boston College ProQuest Dissertations Publishing,Dissertation,Market services;Labor;Race;Class;Aging;Governence,Qualitative,United States,N/A,,,,FALSE,FALSE
BonMeg;HayMic;TooRob,Meg Bond;Michelle Haynes;Robin Toof,Supporting a Diverse Healthcare Workforce through Innovative Partnerships,2013,Healthy diversity: Promoting a diverse healthcare work force through innovative partnerships,2015,Caring on the Clock: The Complexities and Contradictions of Paid Care Work,Book chapter,Healthcare;Labor;Market services;Race,N/A,N/A,N/A,,,,FALSE,FALSE
CaiCin,Cindy L. Cain,Orienting End-of-Life Care: The Hidden Value of Home Hospice Visits,2013,Orienting End-of-Life Care: The Hidden Value of Hospice Home Visits,2015,Caring on the Clock: The Complexities and Contradictions of Paid Care Work,Book chapter,Aging;Healthcare;Labor;Market services;Metrics;Social care;Social practices,Qualitative;Interviews,N/A,N/A,,,,FALSE,FALSE
DilJan,Janette Dill,"The Frontline Healthcare Workforce: Exploring Differences in Job Quality by Occupation and
Employment Setting",2013,Are Frontline Healthcare Jobs “Good” Jobs? Examining Job Quality across Occupations and Healthcare Settings,2015,Caring on the Clock: The Complexities and Contradictions of Paid Care Work,Book chapter,Healthcare;Labor;Market services;Metrics,N/A,N/A,N/A,,,,FALSE,FALSE
GerNao;ClaDan,Naomi Gerstel;Dan Clawson,Low-Wage Caregivers: Extended Kinship as a Strategy for Survival,2013,When Work Becomes Family: The Case of Low-Wage Caregivers,2015,Work and Family in the New Economy,Book chapter,Affect;Class;Gender;Healthcare;Labor;Market services;Social care,Interviews;Qualitative;Quantitative;Surveys,N/A,N/A,,,,FALSE,FALSE
MorJen;FarBra,Jennifer Craft Morgan;Brandy Farrar,Building Meaningful Career Lattices: Direct Care Workers in Long Term Care,2013,Building Meaningful Career Lattices Direct Care Work ers in Long-Term Care,2015,Caring on the Clock: The Complexities and Contradictions of Paid Care Work,Book chapter,Aging;Labor;Market services;Social care,Interviews;Qualitative,N/A,N/A,,,,FALSE,FALSE
RakCar;PriKim,Carter Rakovski;Kim Price-Glynn,"Identity, Content, and Context: Nursing Assistants’ Perceptions of Home and Institutionally Based Care Work",2013,"Caring labour, intersectionality and worker satisfaction: An analysis of the National Nursing Assistant Study (NNAS)",2009,Sociology of Health & Illness,Journal article,Aging;Citizenship;Gender;Healthcare;Labor;Market services;Race;Social care;Social practices,Surveys,N/A,N/A,,,,FALSE,FALSE
ShoFum,Fumilayo Showers,"""Nurses who Care"": How African Immigrant Women Craft and Manage Professional Identities at Work",2013,Migrants Who Care,2023,Rutgers University Press,Book,Aging;Class;Disability;Gender;Healthcare;Labor;Market services;Migration;Race;Social care,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
ZelJen,Jennifer Zelnick,Part of the job? Workplace Violence in Social Services,2013,Part of the job? Workplace violence in Massachusetts social service agencies,2013,Health & Social Work,Journal article,Healthcare;Labor;Market services;Social care ,Quantitative;Surveys,United States,Massachusetts,,,,FALSE,FALSE
LacKar,"Karyn Lacy, Angela Harris",Breaking the Class Monolith: Variation in Black Adolescents’ Attachment to Racial Identity,2014,"Breaking the Class Monolith: Understanding Class
Differences in Black Adolescents’ Attachment to Racial Identity",2008," In Dalton Conley and
Annette Lareau (eds) Social Class: How Does It Work",,,,,,,,,FALSE,FALSE
WarCat; LarAnn,Catharine Warner;Annette Lareau; Elliot Weininger,"Anxiety and Distrust in Family-School Relationships: The Experience of Black Middle-Class
Parents",2014,"Structural Constraints and the
School Choice Strategies of Black American Middle-Class Parents",2021,"British Journal of
Sociology of Education",,,,,,,,,FALSE,FALSE
AieBri,Brittnie Aiello;Krista McQueeney,Mothering in 90 Minutes: Mother/Child Visitation in a Women’s Jail,2015,"“How can you live without your kids?”: Distancing from and embracing the stigma of
“incarcerated mother.”",2016,Journal of Prison Education and Reentry,Journal article,Class;Gender;Governance;Race;Social care;Social practices,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
AltGui,Guillermina Altomonte,Beyond Being on Call: Temporal Experiences among Family Caregivers for the Elderly,2015,"Beyond Being on Call: Time, Contingency, and Unpredictability Among Family Caregivers for the Elderly",2016,Sociological Forum,Journal article,Aging;Affect;Healthcare;Labor;Social care;Social practices;Theory,Interviews;Qualitative,United States,New York City,,,,FALSE,FALSE
BoaGod,Godred O. Boateng,Exploring the Career Pathways of Nurses and their Entry into the Nursing Profession in Ontario,2015,"Exploring the Car Exploring the Career Pathways, Professional Integr essional Integration and Liv ation and Lived Experiences of Regulated Nurses in Ontario, Canada",2015,Western Ontario University,Dissertation,Citizenship;Class;Governance;Healthcare;Labor;Market services;Migration;Race,Interviews;Qualitative,Canada,Ontario,,,,FALSE,FALSE
BroRac,Rachel Brown,She’s Like Family’: Migrant Caregivers and Emotional Negotiation in Israel Rachel Brown,2015,"Four Years, Three Months: Migrant Caregivers in Israel/Palestine",2017,City University of New York,Dissertation,Citizenship;Gender;Labor;Market services;Migration;Race;Social care;Social practices,Interviews;Qualitative,Middle East,Israel,,,,FALSE,FALSE
CaiCin,Cindy L. Cain;Caitlin Taborda-Whitt;Monica Frazer;Sandra Schellinger,"Developing ""Recovery at Work"" Using Three Empirical Cases",2015,A mixed methods study of emotional exhaustion: Energizing and depleting work within an innovative healthcare team,2017,Journal of Interprofessional Care,Journal article,Affect;Healthcare;Labor;Market services;Social care;Social practices,Interviews;Qualitative;Quantitative,N/A,N/A,,,,FALSE,FALSE
ChaRit,Rita Charon,Narrative Medicine: The Lives of Stories in the Work of Care,2015,Narrative Medicine: Honoring the Stories of Illness,2008,N/A,Book,Healthcare;Social care;Social practices;Theory,N/A,N/A,N/A,,,,FALSE,FALSE
ChuAng,Angie Y. Chung,In the Name of the Family: The Gendered Effects of Youth Caregiving Roles on the Ethnicity of Korean and Chinese Americans,2015,"Behind the Myth of the Matriarch and the Flagbearer: How Korean and Chinese American Sons and Daughters Negotiate Gender, Family, and Emotions",2017,Sociological Forum,Journal article,Citizenship;Gender;Migration;Race,Interviews;Qualitative,United States,New York;New Jersey,,,,FALSE,FALSE
DegFra,Francesca Degiuli,Caring for a Living: Emotional Labor and Home Eldercare Assistance in Italy,2015,"Caring for a Living: Migrant Women, Aging Citizens, and Italian Families",2016,Oxford University Press,Book,Aging;Citizenship;Disability;Gender;Governance;Healthcare;Labor;Market services;Migration;Race;Social care;Social practices,Interviews;Qualitative,Western Europe,Italy,,,,FALSE,FALSE
DumChr,Christopher P. Dum,"""We Basically Like One Big Family"": Creating Care Among Residents of a Residential Motel",2015,Exiled in America: Life on the Margins in a Residential Motel,2016,Studies in Transgression (Book series),Book,Class;Race;Social care;Social practices,Qualitative,N/A,N/A,,,,FALSE,FALSE
GodPhoe;TorDen,Phoebe Godfrey;Denise Torres,Global Climate Change & Intersectionality: Praxis and the Struggle for Collective Purpose and Individual Meaning through the Editorial Process,2015,"Systemic Crises of Global Climate Change: Intersections of race, class and gender",2016,Routledge Advances in Climate Change Research,NGO/Non-Profit Report,Class;Gender;Race;Social practices,N/A,N/A,N/A,,,,FALSE,FALSE
LevCar,Carol Levine,The Role of Stories in Understanding the Work of Family Caregiving,2015,Living in the Land of Limbo: Fiction and Poetry about Family Caregiving,2014,Vanderbilt University Press,Book,Affect;Labor;Social care;Social practices,N/A,N/A,N/A,,,,FALSE,FALSE
MazInb,Inbal Mazar,Birth Across Borders: A Comparative Study of Guatemalan-Maya Maternal Care in San Miguel Acatán and Palm Beach County,2015,"Birth Across Borders: Migueleña Maternal Experience in Palm Beach County, Florida",2020,Maya America,Journal article,Citizenship;Gender;Healthcare;Migration;Race,Interviews;Qualitative,Latin America;United States,"Guatemala;Palm Beach County, Florida",,,,FALSE,FALSE
ReyPJ,PJ Patella-Rey,Digital Presence and Emotional Connection in Sex Camming,2015,"Cam Modeling: Labor, Intimacy, and Prosumption",2021,N/A,Dissertation,Gender;Labor;Market services;Social practices;Theory,Interviews;Qualitative,N/A,N/A,,,,FALSE,FALSE
SchRus,Russell K Schutt;Julianne Siegfriedt;Jacqueline Fawcett,"Professionalization, Deprofessionalization, and Adaptation: Health Care Delivery in a Changing Environment",2015,Who cares? Case management and patient navigation in a public health programme,2017,International Journal of Care and Caring,Journal article,Class;Gender;Governance;Healthcare;Labor;Market services;Race;Social care;Social practices,Qualitative;Quantitative,United States,N/A,,,,FALSE,FALSE
SilBar;MedHel,Barbara Silver;Helen Mederer;Emilija Djurdjevic,Constructing a Life-Course View of Caregiving Employees: Similarities and Differences among ElderCaregiving and Child-Caregiving Workers,2015,Launching the Rhode Island Temporary Caregiver Insurance Program (TCI): Employee Experiences One Year Later,2016,U.S. Department of Labor Women's Bureau,NGO/Non-Profit Report,Aging;Disability;Governance;Labor;Market services;Social care;Social practices,Quantitative;Surveys,United States,Rhode Island,,,,FALSE,FALSE
ZelJen;AbrMim,Jennifer Zelnick;Mimi Abramovitz,The Impact of Privatization on a Highly Stratified Paid-care Workforce: Results from the Human Service Workforce Study in New York City,2015,Privatization in the Human Services: Implications for Direct Practice,2015,Clinical Social Work Journal,Journal article,Governance;Labor;Market services;Social care;Social practices,Qualitative;Interviews,United States,New York City,,,,FALSE,FALSE
CaiCin;TabCat;FraMon,Cindy L. Cain;Caty Taborda;Monica Frazer,Forging Professional Identities: Lay Health Care Workers and Expertise,2016,"Creating ""Risky"" New Roles in Healthcare: Identities, Boundary-Making, and Skilling Under Rationalization and Consumer Demand",2020,Work and Occupations,Journal article,Affect;Healthcare;Labor;Market services;Social care;Social practices,Interviews;Qualitative,N/A,N/A,,,,FALSE,FALSE
CopDen,Denise A. Copelton,"Cooking with Care, Cooking as Care: Care Work in Families Affected by Celiac Disease",2016,Gluten-Free Eating and Gendered Feeding Work in Families Affected by Celiac Disease,2016,Gender and Food: From Production to Consumption and After,Book Chapter,Gender;Healthcare;Labor;Market services;Social care;Social practices;Theory,Interviews,N/A,N/A,,,,FALSE,FALSE
DamSar,Sarah Damaske,"Men's and Women's Differential Experiences of Job Loss and Caregiving Across Class,",2016,Job Loss and Attempts to Return to Work: Complicating Inequalities across Gender and Class,2020,Gender and Society,Journal article,Class;Gender;Labor;Market services,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
FonCla,Claire M. Fontaine,Beyond literacy and privacy: Digital carework in young women's lives,2016,"Growing Up Online: Identity, Development and Agency in Networked Girlhoods",2015,City University of New York,Dissertation,Class;Gender;Race;Social practices,Discourse analysis;Qualitative,N/A,N/A,,,,FALSE,FALSE
FraAnn,Ann Christine Frankowski,Care Staff and Residents in Assisted Living: An Interplay of Power and Control,2016,Visitors and Resident Autonomy: Spoken and Unspoken Rules in Assisted Living,2015,The Gerontologist,Journal article,Aging;Labor;Market services;Social care;Social practices,Qualitative;Interviews,N/A,N/A,,,,FALSE,FALSE
JohEle,Eleanor Johnson,Virtue with a Price Tag: The Spatial Organisation of Care Work in Two Residential Homes for Older People,2016,The costs of care: An ethnography of care work in two residential homes for older people,2018,Cardiff University,Dissertation,Affect;Aging;Governance;Labor;Market services;Social care;Social practices,Interviews;Qualitative,Western Europe,Southern England,,,,FALSE,FALSE
JohEli,Elizabeth Johns,Life-Course Informal Care and Retirement Preparation: Is There a Care Penalty?,2016,Life-Course Informal Care and Retirement Preparation: Is there a Measurable Care Penalty?,2016,University of Massachusetts Boston,Dissertation,Aging;Class;Gender;Disability;Labor;Metrics;Social care;Social practices,Quantitative;Surveys,United States,Maine,,,,FALSE,FALSE
KolAbi,Abigail F. Kolker,"Exclusion, Exploitation, and Resistance: A Study of Filipino Caregivers in Tel Aviv, Israel",2016,The Potency of Policy?: A Comparative Study of Filipino Elder Care Workers in the United States and Israel,2018,City University of New York,Dissertation,Aging;Citizenship;Governance;Labor;Market services;Migration;Race,Interviews;Qualitative,Middle East;United States,Israel,,,,FALSE,FALSE
McKCor,Corinne McKamey,Pre-service youth workers: Their meanings of care,2016,Pre-service youth workers: Their meanings of care,2017,Child & Youth Services,Journal article,Labor;Market services;Social care;Theory,Qualitative,N/A,N/A,,,,FALSE,FALSE
MorJen;DilJan,Jennifer Craft Morgan;Janette Dill;Bryan Weiner,Is health care the new pathway into the middle class? Career mobility among frontline health care workers,2016,Frontline health care workers and perceived career mobility,2014,Health Care Management Review,Journal article,Class;Healthcare;Labor;Market services;Social care,Quantitative;Surveys,United States,N/A,,,,FALSE,FALSE
MurMag,Maggie FitzGerald Murphy,In-between professional and informal care: A case study of The Newfoundland Paid Family Caregiver Program,2016,The ethics of care and the Newfoundland Paid Family Caregiver Program,2017,Canadian Review of Social Policy,Journal article,Affect;Ethics;Governance;Labor;Market services;Social care;Social practices;Theory,N/A,Canada,Newfoundland,,,,FALSE,FALSE
NazJen,Jennifer Nazareno,The Outsourced State: The Retraction of Public Caregiving in America and the Role of Immigrant Filipina Entrepreneurship,2016,The Outsourced State: The Retraction of Public Caregiving in America,2015,UC San Francisco ,Dissertation,Aging;Class;Citizenship;Gender;Governance;Labor;Market services;Migration;Social care;Social practices,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
QuiJoh,Johanna S. Quinn,The Overlooked Carework of Instructional and Non-instructional School Employees,2016,School as workplaces: Intersectional regimes of inequality,2017,Gender Work and Organization,Journal article,Class;Gender;Labor;Market services;Race;Social practices;Theory,Interviews;Qualitative,United States,New York City,,,,FALSE,FALSE
RaxJus,Jussara Dos Santos,“My Home is Someone’s Workplace:” The Challenges and Possibilities of Careworkers’ Employers Organizing for Change,2016,"""My Home is Someone's Workplace"": The Boundary Struggles of Home Care for the Elderly and Frail",2021,New School for Social Research,Dissertation,Labor;Market services;Social care;Social practices,Interviews;Qualitative,N/A,N/A,,,,FALSE,FALSE
ResVic,Victoria Restler,"Drawing out the day job: Teachers making carework visible, Victoria Restler",2016,Re-Visualizing Care: Teachers' Invisible Labor in Neoliberal Times,2017,City University of New York,Dissertation,Class;Gender;Governance;Labor;Market serves;Metrics;Race;Social care;Social practices,Focus-group;Interviews;Qualitative,United States,New York City,,,,FALSE,FALSE
SchMar;PauAnj,Margaret Fenerty Schumann;Anju Mary Paul,"Too Flexible: A Mixed-Methods Analysis of How Singapore's Legislative Loophole Subverts Migrant Domestic Workers' Right to Rest to Employer Demands,",2016,The Giving Up of Weekly Rest-Days by Migrant Domestic Workers in Singapore: When Submission Is Both Resistance and Victimhood,2019,Social Forces,Journal article,Citizenship;Class;Labor;Market services;Migration;Race;Social care;Social practices;Theory,Interviews;Qualitative;Quantitative;Surveys,East Asia,Singapore,,,,FALSE,FALSE
ScoEll,Ellen K. Scott,From Male Models to Mother-Ready: the rare caring jobs where parents of children with disabilities find work that works,2016,Mother-Ready Jobs: Employment That Works for Mothers of Children With Disabilities,2018,Journal of Family Issues,Journal article,Class;Disability;Gender;Governance;Labor;Market services;Social care;Social practices;Theory,Qualitative,N/A,N/A,,,,FALSE,FALSE
SmiRob,Robert Courtney Smith,In the Emergency Room with Erving Goffman and Oliver Sacks: The Institutional Construction of a Disappearing Self and Ethnographic Carework with an Alzheimer’s Patient/My Father,2016,Analytic autoethnography of familial and institutional social identity construction of My Dad with Alzheimer's: In the emergency room with Erving Goffman and Oliver Sacks,2021,Social Science & Medicine,Journal article,Affect;Aging;Healthcare;Social care;Social practices,Qualitative,N/A,N/A,,,,FALSE,FALSE
ZifEli,Elizabeth Ziff,Surrogacy as Care Work: How Surrogates in the United States Negotiate the Market Considerations of Intimate Exchange,2016,"Surrogacy and Medicalization: Navigating Power, Control, and Autonomy in Embodied Labor",2020,The Sociological Quarterly,Journal article,Gender;Healthcare;Labor;Market services;Theory,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
AlbRan,Randy Albelda;Alan Clayton-Matthews,Costing out care: Early education and care and paid family and medical leave in the United States.,2017,"Paid Family and Medical Leave: Cost and Coverage Estimates of Three Choices in Massachusetts, Policy Brief",2017,ScholarWorks at UMass Boston: Publications from the Center for Women in Politics and Public Policy,N/A,Class;Gender;Governance;Healthcare;Labor;Market services,Qualitative,United States,Massachusetts,,,,FALSE,FALSE
AroDik,Diksha Arora,Understanding carework in rural communities under the threat of climate change,2017,Gender Differences in Time-Poverty in Rural Mozambique,2015,Review of Social Economy,Journal article,Class;Gender;Labor;Metrics;Social care;Social practices,Quantitative;Surveys;Time-use,East Africa,Mozambique,,,,FALSE,FALSE
AtaRey,Reyhan Atasü-Topcuoglu,Comparing carework and working conditions of caretakers in public and private services and at home: Example of disability care in Turkey,2017,"Gender inequality, the welfare state, disability, and distorted commodification of care in Turkey",2022,New Perspectives on Turkey,Journal article,Disability;Labor;Market services;Social practices;Social care,,Middleeast/North Africa,Turkey,,,,FALSE,FALSE
BarChr,"Christina Barmon;Elisabeth Burgess;Alexis Bender;James Moorhead, Jr.","Sex and dementia in assisted living:
Careworker concerns",2017,Understanding Sexual Freedom and Autonomy in Assisted Living: Discourse of Residents' Rights Among Staff and Administrators,2017,The Journals of Gerontology Series B: Psychological Sciences and Social Sciences,Journal article,Affect;Aging;Disability;Labor;Market services;Social care;Social practices;Theory,Discursive analysis;Qualitative,United States,N/A,,,,FALSE,FALSE
BarRac;DenMar;BroCat;DavS.;ZeyI.U.,Rachel Barken;Margaret Denton;Catherine Brookman;S. Davies;I.U. Zeytinoglu,Care and Control: Perceptions and Benefits of Control over Work for Community Based Personal Support Workers.,2017,"The influence of autonomy on personal support workers' job satisfaction, capacity to care, and intention to stay",2018,Home Health Care Services Quarterly,Journal article,Labor;Market services;Social care,Quantitative;Surveys;Statistics,Canada,Ontario,Affect,,,FALSE,FALSE
BauGud;OstAug,Gudrun Bauer;August Österle,Combining Paid Care Work and Informal Care in Transnational Settings,2017,Combining Paid Care Work and Informal Care in Transnational Settings,2016,Journal of Aging Studies,Journal article,Aging;Class;Governance;Gender;Labor;Market services;Migration,Interviews;Qualitative,Central/Eastern Europe,Austria,,,,FALSE,FALSE
BenAle;BurEli,Alexis Bender;Elisabeth Burgess,“We’re doing it by the book”: Learning Care Following Spinal Cord Injury.,2017,Constructing Recovery Narratives: Experiences and Expectations Following Spinal Cord Injury,2020,Rehabilitation Nursing Journal,Journal article,Healthcare;Social care;Social practices,Interviews;Qualitative,N/A,N/A,,,,FALSE,FALSE
BenOrl,Orly Benjamin,Gender and Service Delivery in Israel.,2017,Gendering Israel's Outsourcing,2016,Palgrave Macmillan,Book,Citizenship;Gender;Governance;Labor;Social care;Social practices,N/A,Middle East,Israel,,,,FALSE,FALSE
BezKat,Kate Bezanson,"Canada’s social policy architecture: Gender, work, and care",2017,"Feminism, Federalism and Families: Canada's Mixed Social Policy Architecture",2018,Journal of Law and Equality,Journal article,Class;Gender;Governance;Labor;Race;Social practices;Social care;Theory,Qualitative,Canada,N/A,,,,FALSE,FALSE
BirAnn,Anne Bird,The Peculiar Family Business of Family Child Care,2017,THE PECULIAR FAMILY BUSINESS OF FAMILY CHILD CARE: POLICY AND REGULATION AFFECTING EMOTIONAL LABOUR IN CAREGIVING,2017,N/A,Dissertation,Gender;Governance;Labor;Market services;Race;Social care,Qualitative;Interviews;Theory,Canada,Ontario,Affect;Class;Gender;Race,,,FALSE,FALSE
BoeNat,Natascia Boeri,"The Appropriation of Carework for Production: Home-Based Garment Workers and Informality in Ahmedabad, India",2017,"Boundaries of Home and Work: Social Reproduction and Home-Based Workers in Ahmedabad, India",2016,N/A,Dissertation,Gender;Labor;Market services;Social practices,Interviews;Qualitative;Theory,South Asia,"Ahmedabad, India",Class;Gender,,,FALSE,FALSE
BouIvy,Ivy Lynn Bourgeault,"Keeping the household going: Mobile healthcare workers talk about work, mobility and impact on family life.",2017,Geographically mobile healthcare workers and the conditions of their travel: The perspectives of managers,2020,Healthcare Management Forum,Journal article,Healthcare;Labor;Market services,Qualitative;Interviews,Canada,Nova Scotia,N/A,,,FALSE,FALSE
BriRac,Rachel Brickner,Care in Contention: Understanding the Political Motivation of Education Activists,2017,Tweeting Care: Educators' Dissent through Social Media in the US and Canada,2016,Labour/Le Travail,Journal article,Governance;Labor;Market services,Discursive analysis;Qualitative,Canada;United States,N/A,,,,FALSE,FALSE
BroCat;DenMar;DavS.;ZeyI.U.,Catherine Brookman;Margaret Denton;S. Davies;I.U. Zeytinoglu,"Working in Someone Else’s Home: Occupational Health and Safety of Personal Support Workers in Ontario, Canada.",2017,"Community‐based personal support workers' satisfaction with job‐related training at the organization in Ontario, Canada: Implications for future training",2022,Health Science Reports,Journal article,Labor;Market services;Social care,Quantitative;Surveys;Statistics,Canada,Ontario,N/A,,,FALSE,FALSE
BunLau,Laura Bunyan,"Nanny Work and the Perpetuation of the Glass Ceiling: The Experiences of White, U.S.-Born Nannies.",2017,Modern Day Mary Poppins,2020,Rowman & Littlefield,Book,Affect;Labor:Market services;Social care,N/A,N/A,N/A,,,,FALSE,FALSE
BurLin,Linda Burnham;Lisa Moore;Emilee Ohia,Home Economics: The Invisible and Unregulated World of Domestic Work and Texas Domestic Worker Research Project,2017,Living in the Shadows: Latina Domestic Workers in the Texas-Mexico Border Region,2018,A.Y.U.D.A. Inc.;Comité de Justicia Laboral;Fuerza del Valle Workers' Center;National Domestic Workers Alliance,NGO/Non-Profit report,Affect;Aging;Citizenship;Class;Disability;Labor;Market services;Migration;Social care;Social practices,Surveys;Quantitative,United States;Latin America,Texas-Mexico Border Region,,,,FALSE,FALSE
ButSan,Sandra Butler,Exploring Relationships between Occupational Injury and Job Turnover among Home Care Workers.,2017,"Exploring Relationships Among Occupational Safety, Job Turnover, and Age Among Home Care Aides in Maine",2018,New Solutions: A Journal of Environmental and Occupational Health Policy,Journal article,Healthcare;Labor;Market services;Social care,Interviews;Qualitative;Quantitative;Statistics;Surveys,United States,Maine,Affect;Aging,,,FALSE,FALSE
CaiCin,Cindy Cain,Innovative Pressures for Care Workers.,2017,Agency and Change in Healthcare Organizations: Workers' Attempts to Navigate Multiple Logics in Hospice Care,2019,Journal of Health and Social Behavior,Journal article,Aging;Governance;Healthcare;Labor;Market services,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
CorPal,Paloma Moré Corral,From domestic work to professional domiciliary care,2017,"Live in' domestic work and domiciliary care in Spain and France: looking at time control, task performance and labour identity",N/A,Ortega y Gasset Research Institute in Madrid,Dissertation,Affect;Aging;Class;Governance;Labor;Market services;Migration;Social care;Social practices,Interviews;Qualitative,Western Europe,Madrid;Paris,,,,FALSE,FALSE
CraCyn,Cynthia Cranford,Flexibility or Security? The Social Organization of Home Care and Personal Support Services in Ontario and California,2017,"Immigrant Women and Home-Based Elder Care in Oakland, California's Chinatown",2017,"Gender, Migration, and the Work of Care",Journal article,Gender;Labor;Market services;Migration;Race;Social practices;Social care,Interviews;Qualitative,United States,California,Aging;Citizenship;Class;Gender;Race,,,FALSE,FALSE
DenMar;ZeyI.U.;BroCat;DavS.;BouP.,Margaret Denton;I.U. Zeytinoglu;Catherine Brookman;S. Davies;P. Boucher,"Working in Someone Else’s Home: Occupational Health and Safety of Personal Support Workers in Ontario, Canada.",2017,Personal support workers’ perception of safety in a changing world of work,2018,Safety in Health,Journal article,Labor;Market services,Quantitative;Surveys;Statistics,Canada,Ontario,N/A,,,FALSE,FALSE
DilJan;HodMel,Janette Dill;Melissa Hodges,"s healthcare the new manufacturing? Industry, gender, and “good jobs” for low- and middle-skill workers.",2017,"Is Healthcare the new manufacturing?: Industry, gender, and ""good jobs"" for low- and middle-skill workers",2019,Social Science Research,Journal article,Class;Gender;Healthcare;Labor;Market services,Quantitative;Surveys,N/A,N/A,,,,FALSE,FALSE
DilJan;MorJen;ChuEmm;MinChi,Janette Dill;Jennifer Craft Morgan;Emmeline Chuang;Chivon Mingo,Carrots or Sticks: The process of education and redesign in frontline carework occupations.,2017,Redesigning the Role of Medical Assistants in Primary Care: Challenges and Strategies During Implementation ,2021,Medical Care Research and Review,Journal article,Class;Governance;Healthcare;Labor;Market services;Social care;Social practices,Interviews;Qualitative,United States,N/A,,,,FALSE,FALSE
DouJul;RavKat,Julie Douglas;Katherine Ravenswood,"Work-Home-Money: A cross-occupational comparison of the work environment, paid/unpaid care work and income and their influence on health and safety outcomes in aged care in New Zealand.",2017,Work's broader risk factors,2018,NZ Work Research Institute Safeguard,NGO/Non-Profit report,Affect;Aging;Class;Governance;Healthcare;Labor;Market services;Social care;Social practices,Quantitative;Surveys,Australasia,New Zealand,,,,FALSE,FALSE
